configuration,word_ngram_range,char_ngram_range,mean_accuracy,std_accuracy,mean_spam_precision,mean_spam_recall,std_spam_recall,mean_spam_f1,std_spam_f1,mean_false_positives,mean_false_negatives,word_feature_count,char_feature_count,combined_feature_count,combined_sparsity,training_time
"Word (1, 2) baseline","(1, 2)",None,0.9947315462091012,0.0034992984274282843,0.9962826908768484,0.9817309706338234,0.013845859327313345,0.9889077207612715,0.007432366008851532,0.8,4.0,100148,0,100148,99.74196354444378,3.6318027200000413
"Word (1, 2) + Char (3, 5)","(1, 2)","(3, 5)",0.996487857954436,0.0016136686896824706,0.9972349050565393,0.9881236646977504,0.006188971067646003,0.9926478525996554,0.0033950427331857574,0.6,2.6,100148,170452,270601,99.04071263236432,26.185910100000047
"Word (1, 2) + Char (3, 6)","(1, 2)","(3, 6)",0.9960487800181024,0.0014895538108971812,0.9972306772630247,0.9862929914959574,0.005769246459484125,0.9917219658199657,0.003136119009277167,0.6,3.0,100148,402982,503131,99.28132188651827,41.31917352000001
