ngram_range,mean_accuracy,std_accuracy,mean_spam_precision,mean_spam_recall,std_spam_recall,mean_spam_f1,std_spam_f1,mean_false_positives,mean_false_negatives,average_vocabulary_size,average_training_time
"(1, 1)",0.9947317869316541,0.0020128174270775774,0.9926430933127325,0.9853797494868249,0.008849039156198276,0.9889737501505605,0.00425216231431612,1.6,3.2,14194,0.41648335999925623
"(1, 2)",0.9947315462091012,0.0034992984274282843,0.9962826908768484,0.9817309706338234,0.013845859327313345,0.9889077207612715,0.007432366008851532,0.8,4.0,100148,1.3238257600005454
"(1, 3)",0.9938536310589867,0.0029132214698361428,0.9953610318906734,0.978987055422898,0.011757855372253158,0.9870686306491571,0.006198647160392811,1.0,4.6,216587,2.5744923199999903
