configuration,analyzer,ngram_range,mean_accuracy,std_accuracy,mean_spam_precision,mean_spam_recall,std_spam_recall,mean_spam_f1,std_spam_f1,mean_false_positives,mean_false_negatives,average_feature_count,average_nonzero_elements,average_sparsity,average_training_time
"char (3, 5)",char,"(3, 5)",0.9956106649719798,0.0015503336782457678,0.9927018709938299,0.9890327175233548,0.003648814925012069,0.9908485854083626,0.0032144792507965507,1.6,2.4,170452,8519405,98.62867513483623,720.8221191200006
"char (3, 6)",char,"(3, 6)",0.9953908852812603,0.0017557114860652205,0.9944699677904769,0.9862888023124293,0.005002095639893058,0.9903574528525212,0.003677165257010362,1.2,3.0,402982,12237345,99.166839289727,36.43254736000017
"char (4, 7)",char,"(4, 7)",0.9945132108536985,0.001549993731454432,0.9953660637381567,0.9817225922667673,0.004070144833631792,0.9884951533449866,0.00325259110603717,1.0,4.0,748724,13953950,99.48867427190535,44.91721500000058
