C,mean_accuracy,std_accuracy,mean_spam_precision,mean_spam_recall,std_spam_recall,mean_spam_f1,std_spam_f1,mean_false_positives,mean_false_negatives
0.01,0.7866545823945155,0.004904826093244045,1.0,0.11153701143647102,0.019419872865143958,0.20013641873497207,0.03166969978461854,0.0,194.4
0.05,0.9374451152579584,0.003673692076914108,0.9975970558522154,0.7413430522391187,0.016616809278339376,0.8504618306059936,0.01003831337167881,0.4,56.6
0.1,0.9736611011612457,0.0042229321770401946,0.9969739619985925,0.8930836579950567,0.018048729573724435,0.9420649999235738,0.009656392758808786,0.6,23.4
0.25,0.9861719336761222,0.0033009758349895556,0.9942528303703589,0.947911692011227,0.013691251599745713,0.9704771022926668,0.007256841114239945,1.2,11.4
0.5,0.9905619908718009,0.002463936570641385,0.9943613074017474,0.9661932889279878,0.010225761810515252,0.9800459728519751,0.005284412024493879,1.2,7.4
1.0,0.9918787432356962,0.002464621325408543,0.995330874133691,0.9707636881571782,0.010631834178709488,0.9828581225303544,0.005269805008930388,1.0,6.4
2.0,0.9938533903364337,0.0033009709196947542,0.996286830736372,0.9780696242302376,0.013351868367047109,0.9870449384095556,0.007044063524440038,0.8,4.8
5.0,0.9945120072409344,0.0031052606194588986,0.9972088147290716,0.9799002974320304,0.012447597569540655,0.9884394555087154,0.006607202091268783,0.6,4.4
10.0,0.9947315462091012,0.0034992984274282843,0.9962826908768484,0.9817309706338234,0.013845859327313345,0.9889077207612715,0.007432366008851532,0.8,4.0
